cwnd, ssthresh, congestionEvent, no, time, source, destination, protocol, length, tcp_segment_len, tcp_delta, tcp_flags, tcp_ack, tcp_seq, tcp_window_size, info
5,3,0,1903,2.916200,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,2569638,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
6,3,1,1904,2.916201,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2571098,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
3,3,0,1905,2.916202,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2572558,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
4,3,0,1906,2.916202,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,2574018,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,3,0,1907,2.916203,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2575478,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
6,3,1,1908,2.916204,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2576938,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
3,3,0,1909,2.916205,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2578398,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
4,3,0,1910,2.916206,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2579858,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,3,0,1911,2.918754,"192.168.10.196","192.168.10.184",6,54,0,0.002548,0x0010,2390058,1,53248,"5201 → 52343 [ACK] Seq=1 Ack=2390058 Win=212992 Len=0"
6,3,0,1912,2.918907,"192.168.10.184","192.168.10.196",6,1514,1460,0.000153,0x0010,1,2581318,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
7,3,1,1913,2.918908,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2582778,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
3,3,0,1914,2.918909,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2584238,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
4,3,0,1915,2.918910,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2585698,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,3,0,1916,2.918911,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2587158,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
6,3,1,1917,2.918911,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,2588618,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
3,3,0,1918,2.918912,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2590078,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
4,3,0,1919,2.918913,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2591538,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,3,0,1920,2.918913,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,2592998,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
6,3,1,1921,2.918914,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2594458,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
3,3,0,1922,2.918914,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,2595918,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
4,3,0,1923,2.918915,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2597378,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,3,0,1924,2.918916,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2598838,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
6,3,1,1925,2.918916,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,2600298,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
3,3,0,1926,2.919427,"192.168.10.196","192.168.10.184",6,54,0,0.000511,0x0010,2395898,1,53248,"5201 → 52343 [ACK] Seq=1 Ack=2395898 Win=212992 Len=0"
4,3,0,1927,2.919546,"192.168.10.184","192.168.10.196",6,1514,1460,0.000119,0x0010,1,2601758,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,3,0,1928,2.919547,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2603218,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
6,3,0,1929,2.919547,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,2604678,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
7,3,1,1930,2.919548,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2606138,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
3,3,0,1931,2.922398,"192.168.10.196","192.168.10.184",6,54,0,0.002850,0x0010,2407578,1,53248,"5201 → 52343 [ACK] Seq=1 Ack=2407578 Win=212992 Len=0"
4,3,0,1932,2.922533,"192.168.10.184","192.168.10.196",6,1514,1460,0.000135,0x0010,1,2607598,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,3,0,1933,2.922534,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2609058,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
6,3,0,1934,2.922534,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,2610518,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
7,3,1,1935,2.922535,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2611978,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
3,3,0,1936,2.922536,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2613438,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
4,3,0,1937,2.922536,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,2614898,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,3,0,1938,2.922537,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2616358,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
6,3,1,1939,2.922538,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2617818,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
